Fragments,Tacts
1,6
2,6
3,7
4,7
5,7
6,7
7,8
8,9
9,24
10,24
11,24
12,24
13,24
14,24
15,24
16,24
17,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,24
32,24
33,32
34,38
35,28
36,18
37,19
38,19
39,18
40,18
41,18
42,18
43,19
44,19
45,19
46,19
47,19
48,18
49,19
50,18
51,18
52,19
53,18
54,18
55,18
56,18
57,19
58,18
59,18
60,19
61,20
62,19
63,18
64,20
65,18
66,19
67,19
68,19
69,19
70,19
71,19
72,19
73,19
74,19
75,19
76,19
77,18
78,19
79,19
80,19
81,19
82,19
83,19
84,19
85,20
86,19
87,19
88,19
89,19
90,19
91,19
92,19
93,19
94,19
95,19
96,21
97,20
98,19
99,20
100,19
101,19
102,19
103,19
104,19
105,19
106,19
107,19
108,20
109,19
110,19
111,19
112,19
113,20
114,20
115,19
116,19
117,19
118,19
119,19
120,19
121,20
122,20
123,21
124,20
125,20
126,19
127,20
128,20
